fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px]
183,1747308704867063829,1747308705377559829,510.496,730.6544,703.71106
184,1747308705397568829,1747308706693673829,1296.105,762.9973,689.54205
185,1747308706763797829,1747308707264293829,500.496,701.79987,757.38873
186,1747308707464417829,1747308707614540829,150.123,331.41672,581.2027
187,1747308707659665829,1747308707874788829,215.123,381.70126,757.1675
188,1747308707899794829,1747308708160050829,260.256,442.98877,775.00476
189,1747308708270160829,1747308708435284829,165.124,950.91205,665.82697
190,1747308708470408829,1747308708900780829,430.37199999999996,862.01337,615.5899
191,1747308708935779829,1747308709065903829,130.124,753.20154,565.4341
192,1747308709095903829,1747308709311151829,215.248,715.3116,574.0763
193,1747308709346154829,1747308709696523829,350.36899999999997,716.27515,664.5502
194,1747308709746526829,1747308709951779829,205.253,775.5742,676.82513
195,1747308709991771829,1747308710617390829,625.619,653.60645,659.66693
196,1747308710652390829,1747308710948388829,295.998,715.11707,653.07635
197,1747308710983499829,1747308711178627829,195.128,718.08765,730.1077
198,1747308711258750829,1747308711714126829,455.376,750.1163,856.3656
199,1747308711774124829,1747308712104499829,330.375,750.4056,745.3899
200,1747308712134499829,1747308713070373829,935.8739999999999,796.5508,731.23956
201,1747308713105373829,1747308713635884829,530.511,818.69183,735.219
202,1747308713680998829,1747308714176384829,495.38599999999997,792.48083,700.2389
203,1747308714231498829,1747308714511748829,280.25,819.7401,683.7619
204,1747308714606873829,1747308714747008829,140.135,1099.564,712.6991
205,1747308714766998829,1747308714952123829,185.125,1019.2734,762.4243
206,1747308714992248829,1747308715412623829,420.375,949.8885,744.77594
207,1747308715522748829,1747308715642748829,120.0,534.00024,717.11383
208,1747308715677873829,1747308716368498829,690.625,745.2232,755.23444
209,1747308716393498829,1747308717474498829,1081.0,753.6154,746.9814
210,1747308717499511829,1747308717604623829,105.112,719.33685,729.8403
211,1747308717644623829,1747308717904872829,260.24899999999997,865.0256,799.0998
212,1747308717949998829,1747308719231122829,1281.124,735.23566,669.94275
213,1747308719276247829,1747308719491372829,215.125,776.80286,701.41223
214,1747308719516384829,1747308720612497829,1096.113,773.4517,706.7447
215,1747308720652497829,1747308720772622829,120.125,874.04175,827.86273
216,1747308720807622829,1747308721047872829,240.25,820.3783,803.4543
217,1747308721067872829,1747308721207997829,140.125,813.54254,809.5154
218,1747308721253122829,1747308721463250829,210.128,793.7738,700.0942
219,1747308721503260829,1747308721618384829,115.124,815.0967,841.21954
220,1747308721653496829,1747308722849496829,1196.0,753.54474,807.41406
221,1747308722904621829,1747308723079746829,175.125,664.8374,758.8399
222,1747308723184871829,1747308723415124829,230.253,884.76227,599.7934
223,1747308723455121829,1747308723615246829,160.125,875.6875,587.73596
224,1747308723695371829,1747308724075746829,380.375,937.54254,436.4225
225,1747308724125746829,1747308724410996829,285.25,1005.3659,508.65842
226,1747308724521121829,1747308724686246829,165.125,672.3937,978.7687
227,1747308724751371829,1747308724971496829,220.125,753.9525,1019.1781
228,1747308725006621829,1747308725311871829,305.25,766.3266,1028.5521
229,1747308725411995829,1747308725537121829,125.12599999999999,449.0834,863.2188
230,1747308725712245829,1747308725907386829,195.141,1142.1969,667.4988
231,1747308725942495829,1747308726122620829,180.125,844.70013,691.9829
232,1747308726157620829,1747308726978370829,820.75,900.7427,629.992
233,1747308727013501829,1747308727253626829,240.125,1033.1888,656.8919
234,1747308727338745829,1747308727513870829,175.125,671.6001,857.18524
235,1747308727553998829,1747308727859245829,305.247,755.6675,772.7145
236,1747308727894256829,1747308728124500829,230.244,822.08685,835.43536
237,1747308728154508829,1747308728835121829,680.6129999999999,839.788,852.8746
238,1747308728855244829,1747308729090370829,235.12599999999998,851.09296,851.82
239,1747308729225494829,1747308729625869829,400.375,824.66205,839.9251
240,1747308730186494829,1747308730436619829,250.125,861.14417,842.94977
241,1747308730471744829,1747308730581744829,110.0,786.2735,791.25024
242,1747308730616869829,1747308731077248829,460.37899999999996,723.49066,832.48206
243,1747308731112244829,1747308731232369829,120.125,643.27423,900.5589
244,1747308731272494829,1747308731562744829,290.25,735.26544,995.9119
245,1747308731612744829,1747308731702869829,90.125,696.6492,866.32104
246,1747308731732869829,1747308731963119829,230.25,704.75134,794.24005
247,1747308731988122829,1747308732198382829,210.26,755.23486,802.8341
248,1747308732218370829,1747308732833869829,615.499,796.57715,783.137
249,1747308732938993829,1747308733084118829,145.125,756.441,840.76556
250,1747308733104118829,1747308733549618829,445.5,830.7744,837.2507
251,1747308733584618829,1747308734060118829,475.5,747.81024,809.6956
252,1747308734115118829,1747308734715619829,600.501,771.1369,690.7838
253,1747308734790743829,1747308735286243829,495.5,771.5469,813.6083
254,1747308735306243829,1747308735676617829,370.37399999999997,775.45636,812.4405
255,1747308735711618829,1747308735841742829,130.124,828.97595,849.3427
256,1747308735891743829,1747308736176992829,285.24899999999997,924.9746,958.1634
257,1747308736237117829,1747308736792617829,555.5,743.24506,813.3947
258,1747308736827617829,1747308737247992829,420.375,779.97876,897.79834
259,1747308737268117829,1747308737663379829,395.262,776.2517,939.33234
260,1747308737688509829,1747308737963742829,275.233,755.48346,935.86115
261,1747308738158867829,1747308738579242829,420.375,810.3948,887.3319
262,1747308738609366829,1747308739435116829,825.75,821.28046,879.3696
263,1747308739480116829,1747308740646241829,1166.125,786.0622,707.34344
264,1747308740701241829,1747308740901491829,200.25,758.0061,820.5451
265,1747308740921491829,1747308741647115829,725.624,759.3881,831.8485
266,1747308741682240829,1747308742267740829,585.5,801.1595,802.9923
267,1747308742302740829,1747308742527990829,225.25,762.194,813.8665
268,1747308742568000829,1747308742888365829,320.365,805.898,753.49396
269,1747308742923365829,1747308743859239829,935.8739999999999,789.56903,789.49396
